Name,%MP,+-TmEFG%,+-TmORB%,+-TmDRB%,+-TmTRB%,+-TmAST%,+-TmSTL%,+-TmBLK%,+-TmTOV%,+-TmORtg,+-OpEFG%,+-OpORB%,+-OpDRB%,+-OpTRB%,+-OpAST%,+-OpSTL%,+-OpBLK%,+-OpTOV%,+-OpORtg,
Pau Gasol,76.0,0.025,3.3,-1.0,1.1,-4.3,-1.8,-2.4,-2.1,8.7,0.027,1.0,-3.3,-1.1,1.4,0.6,-0.3,-2.2,4.2,
Kobe Bryant,75.0,0.034,2.1,3.4,3.3,-10.1,-2.5,0.1,-3.5,12.6,0.016,-3.4,-2.1,-3.3,0.5,-0.8,-1.9,-3.3,1.5,
Derek Fisher,62.0,0.019,0.4,3.0,2.2,-7.0,-2.1,0.1,-2.9,8.1,0.011,-3.0,-0.4,-2.2,1.6,-1.2,-1.5,-2.5,0.6,
Lamar Odom,59.0,0.02,-1.1,2.7,1.1,-2.2,0.9,0.0,-4.1,9.7,-0.028,-2.7,1.1,-1.1,-1.2,-3.1,-0.9,1.2,-8.0,
Trevor Ariza,51.0,-0.012,0.9,-1.7,-0.9,-2.0,2.4,0.4,0.0,-1.1,-0.002,1.7,-0.9,0.9,0.0,-1.2,1.6,2.8,-1.1,
Andrew Bynum,37.0,0.013,-2.3,1.7,-0.1,2.0,-1.3,1.0,1.6,-1.1,0.002,-1.7,2.3,0.1,4.2,1.3,-0.1,-1.1,-1.2,
Sasha Vujacic,33.0,-0.034,-0.1,-3.0,-2.3,6.0,2.2,-0.1,1.8,-8.3,-0.009,3.0,0.1,2.3,-1.9,0.3,1.9,2.8,-0.2,
Jordan Farmar,30.0,-0.02,-0.5,-4.2,-2.5,6.5,2.4,0.2,3.3,-9.6,-0.004,4.2,0.5,2.5,-0.3,1.5,1.5,2.7,-0.1,
Luke Walton,29.0,-0.004,-0.1,2.1,1.5,3.7,-1.2,-0.4,-0.4,-0.4,-0.008,-2.1,0.1,-1.5,-1.1,0.7,-0.8,-1.0,-1.9,
Vladimir Radmanovic,19.0,0.005,0.0,-0.2,-0.4,-1.5,-1.9,-0.6,0.5,-0.1,0.015,0.2,0.0,0.4,0.5,1.3,-0.8,-1.6,3.0,
Josh Powell,18.0,-0.035,0.4,-2.1,-1.0,4.8,1.4,-0.4,5.2,-14.7,0.018,2.1,-0.4,1.0,-2.3,2.1,1.7,0.6,7.5,
Didier Ilunga-Mbenga,5.0,-0.037,-6.6,-0.6,-3.5,4.5,1.5,5.2,1.5,-14.4,-0.041,0.6,6.6,3.5,2.2,-1.7,-1.8,1.8,-5.8,
Shannon Brown,3.0,0.038,-6.1,2.5,-1.3,11.3,1.1,1.2,2.3,1.7,-0.047,-2.5,6.1,1.3,-1.7,-1.1,-0.3,1.0,-5.3,
Chris Mihm,3.0,-0.084,8.7,-10.2,-0.8,9.6,0.5,0.8,7.7,-18.5,-0.051,10.2,-8.7,0.8,-8.3,5.0,0.7,-1.4,7.6,
Adam Morrison,1.0,0.001,-13.3,1.0,-3.3,8.0,1.8,0.1,11.7,-24.6,-0.074,-1.0,13.3,3.3,-12.5,1.1,1.1,1.6,-6.8,
Sun Yue,1.0,-0.152,1.2,-28.7,-16.4,12.4,-4.3,1.3,4.4,-28.5,0.181,28.7,-1.2,16.4,-14.2,2.0,4.0,-6.5,59.0,
